bezirk,kategorie_raw,n,median_response_time,hilfsfrist_quote,kategorie_code,Hauptbeschwerde_Text_Original
Treptow-Köpenick,20.0,164,714.5,0.11585365853658537,20,"Hitze-, Kälteprobleme"
Treptow-Köpenick,21.0,5682,691.0,0.10225272791270679,21,Blutung / Wunden
Treptow-Köpenick,23.0,4713,670.0,0.14109908762995968,23,Überdosis / Vergiftung (Einnahme)
Treptow-Köpenick,24.0,1510,671.0,0.10264900662251655,24,Schwangerschaft / Geburt / Fehlgeburt
Treptow-Köpenick,25.0,6425,712.0,0.10147859922178988,25,Psychiatrie / Abnormales Verhalten / Suizidversuch
Treptow-Köpenick,26.0,9897,731.0,0.08931999595837123,26,Kranke Person (Spezielle Krankheitsbilder)
Treptow-Köpenick,27.0,50,590.5,0.2,27,"Stich-, Schuss-, Pfählungsverletzung"
Treptow-Köpenick,28.0,3838,676.0,0.12454403335070349,28,Schlaganfall / Transitorische Ischämische Attacke (TIA)
Treptow-Köpenick,29.0,1464,565.0,0.2506830601092896,29,Verkehrsunfall
Treptow-Köpenick,30.0,6996,682.0,0.11949685534591195,30,Verletzungen
Treptow-Köpenick,31.0,11894,637.0,0.1570539767950227,31,Bewusstlosigkeit / Ohnmacht (Beinahe-)
Treptow-Köpenick,32.0,1956,660.0,0.13445807770961146,32,Unklares Geschehen (Person in Notlage)
Treptow-Köpenick,33.0,429,646.0,0.16783216783216784,33,Anforderung von Rettungsmittel durch Versorgungseinrichtung / Palliative Medizin / Einweisung
Treptow-Köpenick,34.0,42,620.5,0.21428571428571427,34,AUM (Automatische Unfallmeldung)
